Index	Sentence	Surprisal	PPL
101	each or to.	7.3950934410095215	1627.9770363217324
102	one may by while another may.	5.983606338500977	396.8690345587732
103	there like in.	6.795831203460693	894.1121399213504
104	there as or of a.	6.691818714141846	805.7864154422184
105	some can to of.	7.2230095863342285	1370.6078222866631
106	if with though can a on.	7.137815952301025	1258.6763756858918
107	that to that if will or.	6.923943042755127	1016.3194954749586
108	when and.	6.910038471221924	1002.2858007080224
109	would for no and at.	7.2081522941589355	1350.3948284063076
110	to to.	6.1810808181762695	483.5142650477239
111	the a with.	6.550119876861572	699.3280020373468
112	with in the.	6.350632667541504	572.8550211678964
113	as the.	6.341710090637207	567.7664136919173
114	like a would out for a.	6.02617073059082	414.1261885283467
115	while the in.	6.309001445770264	549.4959732384141
116	on the of for.	6.163451671600342	475.06501654293425
117	up with and.	5.787092208862305	326.0635199510802
118	a a with.	6.557811737060547	704.7278761772602
119	should a to the.	6.779921054840088	879.9992496840154
120	the should and the should and the.	5.098897933959961	163.84124389583062
121	the blind in.	6.322116851806641	556.7503038013897
122	by a that the.	6.473335266113281	647.64018114152
123	that an to a.	6.576190948486328	717.7999783029314
124	no so could on.	7.254366397857666	1414.266636817806
125	the as for the of.	6.009926795959473	407.4534919402005
126	by the of can on the.	6.138523578643799	463.36893778464923
127	this may those who but who the.	7.209874629974365	1352.7226658677096
128	in in by and.	6.518972396850586	677.8814342094614
129	these can by and.	7.497060775756836	1802.7359745873898
130	in to by.	6.059491157531738	428.15751669287243
131	no how a from to.	7.166043758392334	1294.7122625860866
132	the when a of a.	6.8453369140625	939.4897550046966
133	the a to beneath the.	6.836979389190674	931.6706656397447
134	that each to one of the four.	4.808664321899414	122.56779701358262
135	that a on the of the would if.	6.195475101470947	490.52443852813104
136	that a can to all of the.	5.652714729309082	285.0642887263807
137	of so to with.	7.0839762687683105	1192.7016044016627
138	of and with no.	6.295765399932861	542.2707415816647
139	when.	6.5898003578186035	727.6355886409995
140	a for.	6.646356105804443	769.9735054924976
141	with the of the and the of.	5.130766868591309	169.14678167523763
142	to to the of.	5.940667629241943	380.188669899955
143	and for and in the.	5.743821144104004	312.2553067645438
144	through the a like.	6.127588272094727	458.32946073651925
145	a and that.	5.324028491973877	205.20890149764045
146	every like on.	7.100658416748047	1212.7653166716766
147	at the the the.	6.224842071533203	505.1432596564966
148	there a of.	7.031291961669922	1131.4915099305995
149	in or the but the.	6.220724582672119	503.0676140678957
150	in or the the and an.	6.182931900024414	484.41011842022715
151	can if.	7.101164817810059	1213.3796178442653
152	of or around the.	6.357015609741211	576.5232161409583
153	if these the and some.	6.743760585784912	848.746525998675
154	if the and away.	6.346842288970947	570.6877936726606
155	a to.	6.496445178985596	662.7813712293135
156	and that from.	6.0039963722229	405.0442709916052
157	the since the.	7.557386875152588	1914.835266410792
158	a with or which the of.	6.8368659019470215	931.5649389033409
159	can the of by in and.	6.89365291595459	985.9966094988564
160	can once.	7.335292816162109	1533.4767409804558
161	at the of the.	5.558488845825195	259.4305004737711
162	as an to and.	6.41448450088501	610.6259025581292
163	of from for.	6.735846042633057	842.055597740489
164	out into of and.	7.015291213989258	1113.5308747674937
165	an in which and a that and.	5.85996675491333	350.71248435916254
166	of the of as and.	6.367129802703857	582.3838711337113
167	in an and by an.	5.972630977630615	392.53706961060675
168	the to the in the.	5.950069427490234	383.7799830172127
169	about.	6.098349094390869	445.1223082450906
170	and all.	5.259232521057129	192.33382247938508
171	but the of the.	6.0202555656433105	411.68379451728117
172	a must in while a.	6.665104389190674	784.5453587615382
173	to of like and.	6.356086254119873	575.9876699441861
174	to the with.	5.707036018371582	300.977652670049
175	the of the should a of the.	5.924933433532715	374.25352179626213
176	as than as.	6.7544426918029785	857.8615233821797
177	the of and of the.	5.456868648529053	234.3624031051842
178	on and and a with.	5.872488498687744	355.1316261663854
179	as a to on the and on the.	5.153970718383789	173.11752833591277
180	an a that to within of.	6.526661396026611	683.1137538711463
181	but than for a.	6.258216857910156	522.2867977118472
182	the an.	7.205180644989014	1346.3878852986622
183	that up like.	6.9063005447387695	998.5463233695812
184	and like could through.	7.1121602058410645	1226.7948150646243
185	this at and through the.	6.081694602966309	437.7704135465586
186	while some.	7.261605262756348	1424.5414661153009
187	the beyond.	6.12755823135376	458.3156923867185
188	that may the.	7.064639091491699	1169.8596829436024
189	the on a and with.	5.82546854019165	338.8198466090547
190	to and an.	6.56778621673584	711.7923436781854
191	might a but for the of.	6.4490065574646	632.0740515547913
192	to a across.	6.827110290527344	922.521138972375
193	when in the beneath the.	6.758069038391113	860.9780740216573
194	down on the as the.	6.299058437347412	544.0594028704147
195	as of the for a these.	6.3352179527282715	564.0923350513144
196	one of the that will for than or.	6.390911102294922	596.3997133728163
197	may out of because in a.	6.902460098266602	994.7188140413845
198	will up on to.	6.702540874481201	814.4726710831419
199	the an of the.	6.276268482208252	531.8005336080328
200	when will by a or that on the.	6.639965057373047	765.0682590581932
201	the will and in when the around.	6.3090925216674805	549.5460213562478
202	the a for.	6.377736568450928	588.59395666973
203	to.	5.9237542152404785	373.8124553053738
204	a could within a.	7.087191104888916	1196.5421145983546
205	during of and could inside the for.	7.748964786529541	2319.1703351218466
206	in a of the of.	5.5565361976623535	258.92441824470393
207	and.	6.102999210357666	447.19699863477433
208	in the to and.	5.881631374359131	358.39343892385074
209	upon the above a on a.	7.013098239898682	1111.0916060142242
210	the an of above the.	7.102961540222168	1215.5616838945173
211	an but.	6.853359222412109	947.0569440890363
212	after up the of the the into a.	6.447147369384766	630.8999987432484
213	this into the at the.	6.420060634613037	614.0403450955116
214	down the.	6.947159767150879	1040.191143579248
215	the inside the and the.	6.579585552215576	720.2407651944417
216	than the of the the of the.	5.503121376037598	245.45690105471942
217	the that the in.	6.428990840911865	619.5484095238645
218	the the and until the.	6.309211730957031	549.6115362519437
219	to the of how.	5.71135950088501	302.281741359233
220	some inside the to.	6.988166809082031	1083.732964653854
221	that up the of the.	6.407540798187256	606.4005844844363
222	and.	6.102999210357666	447.19699863477433
223	who the can on.	6.363567352294922	580.3128486216186
224	with that can to.	6.267369747161865	527.0891752169541
225	all of the on the to.	5.202579021453857	181.74035024724046
226	of.	6.055194854736328	426.321968216466
227	and.	6.102999210357666	447.19699863477433
228	the up for.	6.076923847198486	435.68689175970445
229	one of.	5.996383190155029	401.9723037716001
230	the on and to a.	6.320991039276123	556.1238600282911
231	and the.	6.140320301055908	464.20223151483196
232	to the if.	5.988679885864258	398.88768493161336
233	down the that to.	6.366367340087891	581.9399944450244
234	a and.	6.3117265701293945	550.9954603167419
235	to a at a of the.	5.803404808044434	331.42608321782416
236	to and in a up the.	6.279515266418457	533.5299812358923
